handle	loox_note	loox_nb	affiche_note	affiche_texte
housse-doreiller-de-rechange-enfant	2.0	2	4,8/5	15 637 avis clients
oreiller-soya-enfant	4.0	4	4,8/5	15 637 avis parents
oreiller-de-voyage-ergonomique-soya	1.3	3	4,8/5	15 637 avis clients
draps-en-soie-naturelle-soya	1.0	1	4,8/5	15 637 avis clients
housse-de-couette-en-soie-naturelle-soya	None	0	4,8/5	15 637 avis clients
housse-d-oreiller-en-soie-naturelle-soya	4.9	8	4,8/5	15 637 avis clients
oreiller-soya-2-0	4.8	1257	4,8/5	15 637 avis clients
couette-rafraichissante-soyafresh	5.0	1	4,8/5	15 637 avis clients
draps-rafraichissants-soyafresh	1.5	2	4,8/5	15 637 avis clients
oreiller-soya-3-0	4.3	339	4,8/5	15 637 avis clients
housse-d-oreiller-de-rechange-soya-3-0	4.2	76	4,8/5	15 637 avis clients
oreiller-soya-1-0	2.8	4	4,8/5	15 637 avis clients
masque-de-sommeil-en-soie	5.0	1	4,8/5	15 637 avis clients
housse-d-oreiller-de-rechange-soya-1	4.6	44	4,8/5	15 637 avis clients
ensemble-de-coussins-orthopediques	4.8	4	4,8/5	15 637 avis clients
ensemble-doreillers-reglables	3.0	2	4,8/5	15 637 avis clients
couverture-lestee-therapeutique	2.7	3	4,8/5	15 637 avis clients
coussin-lombaire-ergonomique-soya	3.9	24	4,8/5	15 637 avis clients
coussin-ergonomique-avec-tete-de-lit	5.0	1	4,8/5	15 637 avis clients
